museum,inventory,pictures filenames,material,provenance (country code),provenance,number of fragments,lacunary percentage,Integrity,degradation state,condition state,weapon,observations ,NR,Collocazione fisica,Didascalia,Riproduzione digitale,"Tipologia
 documentaria NO AAT","Tipologia
 documentaria",Tecnica,Soggetti,Titolo museale,Titolo @en,Data,Autore,Collezione,"Ente
 conservatore","Luogo
 conservazione",provenance_file
MNC,19463,"19463 (6).JPG
19453 (2).JPG
19453 (4).JPG",terre cuite,788,Tunisia {North Africa},44,<10,complete archeological profile,"powderiness, biological degradation/ presence of microorganisms, dust / dirtying",poor,explosive bomb,colombin shaping technique. ,19463,pas de num (caisse isolée) avec présence d'autres fragments exogènes ,"
rustic tunisian pottery gubtua dish from Ferryville region, bitumen and shellac decoration ",,plate,"""plates (general, dishes)""",pottery forming techniques,,Tunisian plate,,1800-1999,,Dr. Gobert Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,4936,4936 (11).JPG,terre cuite,356,India {South Asia},2,40,incomplete,dust / dirtying,good,explosive bomb,"classic potter's wheel-made, decorations made with lathes at the point. Labels on both pieces with the same inscription (= 4936-1 Myxapore (?) Bengal).",4936,pas de num caisse en plastique avec différente chose mélangée ,"spheroidal vase, fine reddish-yellow polished pottery, Gujarate province (Indostan)",,vase,vases,pottery forming techniques,,Bengal vase,,1400 - 1599,Amhedabad pottery factory ,Mr. Royle commissioner of the British India Company Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,2919_1,"2919_1 (1).JPG
2919_1 (5).JPG
2919_1 (9).JPG",terre cuite,380,Italy {Europe},7,15,complete archeological profile,"aging of old restauration products, cracked / split, dust / dirtying",poor,explosive bomb,"decoration made by incision during turning, presence of two different inventory numbers (we have retained the one present twice), label mentioning the gift of this pottery: “Ab 11 N°1069 Hydrocérame ou vase à raffraichir (?) des fabriques du Sannio, Royaume de Naples 18e siècle; Donné par Mr le Duc de Luynes en 1840”.",2919_1,pas de num(terres cuites romaines ),"
Two small turbiniform polished red terracotta drinking jugs: one with bossing, two handles, the other with a neck pierced with three colander-like holes. ",,vase [two handles],vases,"pottery forming techniques, pottery decorating techniques",,Small italian vase ,,1700-1799,Sannio factories,Duke of Luynes Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,2919_2,"2919_2 (12).JPG
2919_2 (16).JPG
2919_2.JPG",terre cuite,380,Italy {Europe},3,15-20,incomplete,"cracked / split, dust / dirtying",poor,explosive bomb,"traces of painted decoration (minimalist), two inventory numbers choice to use the one following the previous one as they are probably part of the same lot, has the same label as 2919_1 and therefore the same provenance.",2919_2,"pas de num(terres cuites ""romaines"" )","Two small turbiniform polished red terracotta drinking jugs: one with bossing, two handles, the other with a neck pierced with three colander-like holes. ",,vase [one handle],vases,"pottery forming techniques, pottery painting (image-making)",,Small italian vase ,,1700-1799,Sannio factories,Duke of Luynes Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,19400,"19400 (11).JPG
19400 (2).JPG",faïence,616,Poland {Europe},16,<10,complete archeological profile,"cracked / split, lack of adhesion of the glaze",poor,explosive bomb,"not potter's wheel-made (modelling or colombin), stamped on back but illegible.",19400,"pas de num(terres cuites ""romaines"" )",Polish folk pottery. Glazed earthenware saucer: stylised black flowers on a green background. Pomerania.,,small bowl,bowls (vessels),"pottery forming techniques, slip trailing, pottery glazing (process or technique)",black flowers,rustic pomeranian pottery,,1900-1999,,Society for the Expansion of Polish Art Abroad Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,5072,"5072 (11).JPG
5072 (4).JPG",terre cuite,392,Japan {Asia},12,40,incomplete,"broken / stuck, cracked / split, lack of stability",bad,explosive bomb,"seal at the base in a cartouche (two ideograms), old museum label under the foot, incised and gilded flower decoration on the body in some places (discreet).",5072,"pas de num(terres cuites ""romaines"" )","A quadrangular teapot, fine-paste, soft, grayish pottery; chocolate-brown encaustic coating decorated with point-engraved tea flowers enhanced with gold.",,pot [with lid] [button handle],"pots (containers), lids (covers)","pottery forming techniques, pottery decorating techniques",tea flowers,Japanese teapot stove,,1800-1899,Japanese manufacture,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,4932_3,"4932_3 (1).JPG
4932_3 (16).JPG",terre cuite,356,India {South Asia},13,10-15,incomplete,"aging of old restauration products, cracked / split, poor adhesion of the gilding",poor,explosive bomb," old pre-war label before inventory number, does not correspond to the number on the packaging bag (this one, according to the database, is an Austrian porcelain vase, therefore erroneous).",4932_3,"pas de num(terres cuites ""romaines"" )","Fine black paste pottery, lustrous Manufactured in Ahmedabad, Gujarate province (Indostan). Smoking vase (Gourgouli) in the shape of a spheroidal bottle: gray and gold decoration, with segments of squared circles.",,smoking vase,vases,"pottery forming techniques, pottery decorating techniques",,Smoking vase,,1600 - 1899,Amhedabad pottery factory ,Mr. Royle commissioner of the British India Company Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,3075,"3075 (1).JPG
3075 (17).JPG",terre cuite,250,France {Europe},12,30,restored,"aging of old restauration products, lack of adhesion of the glaze, cracked / split",bad,explosive bomb," old label with inventory number on the neck, brown glaze/ warm flamed tones (which technique? Which origin?). Very fine eggshell like the Bengal vase. Entered the collections in January 1843.",3075,"pas de num(terres cuites ""romaines"" )",glazed pottery. spheroidal-bodied oil-bottle; chipped varnish.,,oil cruet,cruets (condiment vessels),pottery forming techniques,,Old oil vase,,1720,factories of Clermonc in Auvergne,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,5207,"5207 (11).JPG
5207 (15).JPG
5207 (2).JPG",mixte(terre cuite+quartz),620,Portugal {Europe},8,10,incomplete,"dust / dirtying, cracked / split",poor,explosive bomb,"probably not potter's wheel-turned, but pellet-turned (irregularities in places); engraved decorations made by line during design; exogenous elements hung with slip on the body as decoration; old label on a piece of neck.",5207,"pas de num(terres cuites ""romaines"" )","Cooling pottery. An oréforme jug, with corded side handles, decorated all over with buttons containing white quartz seeds, reddish earth.",,jug,jugs (vessels),pottery forming techniques,,Jug with corded handles ,,XIX - XVIII ,Estremoz factory,Mr. Achille Jubinal Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MNC,10169_141,"10169 (1).JPG
10169 (14).JPG",faïence,156 (?),China {Asia},16,15,complete archeological profile,"broken / stuck, cracked / split",fair,explosive bomb,"inventory number difficult to decipher, does not correspond to the one on the bag (the one on the bag corresponds to another object according to the museum database but is not there ...); the bag also contains fragments of what seems to be the handle of another object (perhaps confusion due to the color of the glaze quite similar). description in the inventory that does not match",10169_141,"pas de num(terres cuites ""romaines"" )",decorative openwork vase with Chinese designs,,decorative openwork vase,vases,"pottery forming techniques, pottery decorating techniques, pottery glazing (process or technique)",Chinese designs,small openwork vase,,1900-1999,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv
MIC,"1238,1","1238,1 (1).JPG
1238,1 (2).JPG
1238,1 (5).JPG",faïence,MED,{Europe} (Roman or Byzantine production?),5,30-40,incomplete,"melting of the glaze, powderiness, fusion of exogenous elements",bad,incendiary grenade,"cette objet provient de la vitrine du vieux musée d'avant guerre. Dans l'inventaire il est désigné comme ""porte-fruit"" romain. Erreur  d'appelation, anacrhonisme. ","1238,1",,"the historical inventory refers to this object as a “Roman fruit holder”, an anachronism. Probably a Byzantine lamp or perfume burner.",,lamp (?) ; incense burner for scented incense (?),"oil lamps, incense burners",pottery forming techniques,,Ancient scent burner,, 400-699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv
MIC,"5723,1","5723,1 (1).JPG
5723,1 (5).JPG",faïence,818,Egypt {North Africa} (18th dynasty),15,50,complete archeological profile,"burn mark, broken / stuck",poor,incendiary grenade,"object already very incomplete before the bombardment (archaeo profile complete but half missing), blue paste color","5723,1",,Egyptian bowl with bluish siliceous paste. Vegetal decoration. ,,bowl,bowls (vessels),pottery forming techniques,vegetals,Egyptian bowl,,- 1550 - 1286,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv
MIC,"2963,1
2964,1
2965,1","2963,1-2965,1 (10).JPG
2963,1-2965,1 (11).JPG
2963,1-2965,1 (12).JPG
2963,1-2965,1 (7).JPG",faïence,364,Iran {Asia} (Achaemenid),5,10-15,complete archeological profile,"broken / stuck, burn mark, powderiness, lack of adhesion of the glaze",poor,incendiary grenade,"object already very incomplete before the bombardment (profilebricks from the palace of Darius in Susa, on deposit at the Musée du Louvre. An undamaged post-war example on display in the museum's permanent collections.","2963,1
2964,1
2965,1",,architectural bricks from the palace of Darius Susa. scrolls and palmettes ,,brick,molded brick,pottery forming techniques,,Brick from Darius' palace in Susa,,- 600 - 501,,Louvre Museum Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv
