Code,Object,Showcase,Caption,Current_Status,Link,Existing_Object,Notes,Acquisition_Institution_Responsible,Acquisition_People_Responsible,Acquisition_Technique,Acquisition_Equipment,Acquisition_License,Processing_Institution_Responsible,Processing_People_Responsible,Processing_Equipment,Processing_Timing_Start_Date_(MM-DD),Processing_Timing_End_Date_(MM-DD),Processing_License,Modeling_Institution_Responsible,Modeling_People_Responsible,Modeling_Equipment,Modeling_Timing_Start_Date_(MM-DD),Modeling_Timing_End_Date_(MM-DD),Modeling_License,Optimization_Institution_Responsible,Optimization_People_Responsible,Optimization_Equipment,Optimization_Timing_Start_Date_(MM-DD),Optimization_Timing_End_Date_(MM-DD),Optimization_License,Export_Institution_Responsible,Export_People_Responsible,Export_Equipment,Export_Timing_Start_Date_(MM-DD),Export_Timing_End_Date_(MM-DD),Export_License,Metadata_Institution_Responsible,Metadata_People_Responsible,Metadata_Equipment,Metadata_Timing_Start_Date_(MM-DD),Metadata_Timing_End_Date_(MM-DD),Metadata_License,Upload_to_ATON_Institution_Responsible,Upload_to_ATON_People_Responsible,Upload_to_ATON_Equipment,Upload_to_ATON_Timing_Start_Date_(MM-DD),Upload_to_ATON_Timing_End_Date_(MM-DD),Upload_License,Acquisition_Timing_End_Date_(MM-DD),Acquisition_Timing_Start_Date_(MM-DD),Room
19463,plate,,"
rustic tunisian pottery gubtua dish from Ferryville region, bitumen and shellac decoration ",2 - Processed,,,,Université Paris 1 Panthéon-Sorbonne,"François Giligny, Madeleine Daste",Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_09_20,2024_10_10,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4936,vase,,"spheroidal vase, fine reddish-yellow polished pottery, Gujarate province (Indostan)",1 - Acquired,,,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste; François Giligny,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_09_20,2024_10_10,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024_05_20,2024_05_05,
2919_1,vase [two handles],,"
Two small turbiniform polished red terracotta drinking jugs: one with bossing, two handles, the other with a neck pierced with three colander-like holes. ",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2919_2,vase [one handle],,"Two small turbiniform polished red terracotta drinking jugs: one with bossing, two handles, the other with a neck pierced with three colander-like holes. ",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19400,small bowl,,Polish folk pottery. Glazed earthenware saucer: stylised black flowers on a green background. Pomerania.,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,pot [with lid] [button handle],,"A quadrangular teapot, fine-paste, soft, grayish pottery; chocolate-brown encaustic coating decorated with point-engraved tea flowers enhanced with gold.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4932_3,smoking vase,,"Fine black paste pottery, lustrous Manufactured in Ahmedabad, Gujarate province (Indostan). Smoking vase (Gourgouli) in the shape of a spheroidal bottle: gray and gold decoration, with segments of squared circles.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,oil jar,,glazed pottery. spheroidal-bodied oil-bottle; chipped varnish.,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5207,jug,,"Cooling pottery. An oréforme jug, with corded side handles, decorated all over with buttons containing white quartz seeds, reddish earth.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10169_141,decorative openwork vase,,decorative openwork vase with Chinese designs,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
