Musée,Nuléro de caisse,inventaire,inventaire clean,pictures filenames,matériau,matériau simplifié,"matériau (sous-type)
",incertitude sur le matériel,typologie,typologie@en,datation,incertitude sur la datation,provenance (country code),provenance,provenance@en,incertitude sur provenance,nombre de fragements,number of fragments clean,typologies de fragments,taille,poids,lacunaire (observations),% lacunaire,Integrity,degradation state,condition state,weapon,autre dégradations visibles ,observations ,Unnamed: 12,autres observations,Unnamed: 13,Unnamed: 15,obaservations ,NR,"NR 
 collegato",Relazione,Inventario MGGC,Collocazione fisica,"Sala
 mostra",Didascalia,Riproduzione digitale,Consistenza,"Tipologia
 documentaria NO AAT","Tipologia
 documentaria",material_to_technic,Tecnica,"Tipologia riprod. 
in mostra",Soggetti,"Titolo 
 originale",Titolo museale,Titolo @en,Data,Scopritore,Autore_extended,Autore,Traduttore,Disegnatore,Incisore,Editore,"Luogo 
 editore","Preparatore 
 museale",Committente,Collezione_extended,Collezione,"Ente 
 conservatore","Luogo
 conservazione",provenance_file,Regno,Phylum,Classe,Ordine,Famiglia,Genere,Specie,Taxon_data,TIPO,Periodo_geologico,Età_specifica,Formazione_geologica,Ambiente_deposizionale,Stato_geografico_raccolta,Luogo_raccolta
MNC,pas de num (caisse isolée) avec présence d'autres fragments exogènes ,19463,19463,"19463 (6).JPG 
19453 (2).JPG
19453 (4).JPG
",terre cuite ,terre cuite,,FALSE,plat ,plate,XIX - XX,FALSE,788,"Tunisie {Afrique, Nord}",Tunisia {North Africa},FALSE,44,44,4 très gros : entre 16 et 18 cm ; 6 entre 8 et 10 cm ; 13 entre 8 et 6 cm ; 9 entre 6 et 4 cm ; 10 entre 4 et 2 cm ,environ 22-23 cm de diamètre ,,moins de 10%,<10,complete archeological profile,"powderiness, biological degradation/ presence of microorganisms, dust / dirtying",poor,explosive bomb,"pâte friable, craquelures (= nécessiterai une consolidation), traces  blanches  ur certains fragments (sels ? Plâtre ? ) ; noircissement utilisation pour cuire sur le feu ? ",colombin shaping technique. ,,,,,,19463,,,,pas de num (caisse isolée) avec présence d'autres fragments exogènes ,,"
rustic tunisian pottery gubtua dish from Ferryville region, bitumen and shellac decoration ",,,plate,"""plates (general, dishes)""",terre cuite ,pottery forming techniques,,,,Tunisian plate,,1800-1999,,,,,,,,,,,Donation from Dr. Gobert,Dr. Gobert Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,pas de num caisse en plastique avec différente chose mélangée ,4936,4936,4936 (11).JPG,terre cuite,terre cuite,,FALSE,vase,vase,XV - XVI,TRUE,356,"Inde {Asie, Sud}",India {South Asia},FALSE,2,2,"un fragment bas du vase : 10, 2 cm de diamètre 6,5 cm de hauteur ; fragment du col : 12 cm de long ; environ 10 cm de largeur, 13 cm de haut.","difficile de connaitre la taille véritable = partie du pieds manquante, et pas de connexion entre les deux morceaux pour connaitre le diamètre véritable ",,"0,4",40,incomplete,dust / dirtying,fair,explosive bomb,"empoussièremment, pâte très fine attention en le manipulant fragile (mal conditionné mériterait une caisse à part pour éviter de s'entre choquer avec d'autres objets), deux éclats sur le col ","classic potter's wheel-made, decorations made with lathes at the point. Labels on both pieces with the same inscription (= 4936-1 Myxapore (?) Bengal).",,,,,,4936,,,,pas de num caisse en plastique avec différente chose mélangée ,,"spheroidal vase, fine reddish-yellow polished pottery, Gujarate province (Indostan)",,,vase,vases,terre cuite,pottery forming techniques,,,,Bengal vase,,1400 - 1599,,Amhedabad pottery factory ,Amhedabad pottery factory ,,,,,,,,"Donation From Mr. Royle, commissioner of the British India Company at the 1855 World's Fair.",Mr. Royle commissioner of the British India Company Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,pas de num(terres cuites romaines ),2919_1,2919_1,"2919_1 (1).JPG
2919_1 (5).JPG
2919_1 (9).JPG",terre cuite [vernissée],terre cuite,vernissée,FALSE,vase [deux hanses],vase [two handles],XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,7,7,1 fragment gros de la panse avec l'hanse : 15 cm ; 2 du col : entre 6 et 8 cm ; 1 de 4 cm ; 3 de 2 cm ,"18 cm de haut ; longeur 14,5 cm ; largeur/diamètre 12 cm",,"0,15",15,complete archeological profile,"aging of old restauration products, cracked / split, dust / dirtying",poor,explosive bomb,"traces d'anciennes restauration au niveau de l'hanse manquante (donc sûrement déjà manquante avant la guerre), divers éclats et manques autour du col mais profil archéo complet ","decoration made by incision during turning, presence of two different inventory numbers (we have retained the one present twice), label mentioning the gift of this pottery: “Ab 11 N°1069 Hydrocérame ou vase à raffraichir (?) des fabriques du Sannio, Royaume de Naples 18e siècle; Donné par Mr le Duc de Luynes en 1840”.",,,,,,2919_1,,,,pas de num(terres cuites romaines ),,"
Two small turbiniform polished red terracotta drinking jugs: one with bossing, two handles, the other with a neck pierced with three colander-like holes. ",,,vase [two handles],vases,terre cuite [vernissée],"pottery forming techniques, pottery decorating techniques",,,,Small italian vase ,,1700-1799,,"Sannio factories, kingdom of Naples ",Sannio factories,,,,,,,,Donation of Mr. the Duke of Luynes,Duke of Luynes Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",2919_2,2919_2,"2919_2 (12).JPG
2919_2 (16).JPG
2919_2.JPG",terre cuite [décors peints],terre cuite,peinte + vernissée,FALSE,vase [une hanse],vase [one handle],XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,3 (bientôt 4),3,1 très gros avec presque tout entre 16 et 18 cm ; 1 morceau du col environ 4 cm ; 1 autre du col plus petit de2 cm ,"hauteur : 16,5 cm ; longeur 11,7 cm ; largeur/ diamètre : 11 cm",,15-20% manque l'hans et une partie du col ,15-20,incomplete,"cracked / split, dust / dirtying",poor,explosive bomb,"éclats à la base, empoussièrement, rayures mais pas de profil archéo complet manque l'hanse. Fissures sur le col au niveau des petits trous mériterait une consolidation.","traces of painted decoration (minimalist), two inventory numbers choice to use the one following the previous one as they are probably part of the same lot, has the same label as 2919_1 and therefore the same provenance.",,,,,,2919_2,,,,"pas de num(terres cuites ""romaines"" )",,"Two small turbiniform polished red terracotta drinking jugs: one with bossing, two handles, the other with a neck pierced with three colander-like holes. ",,,vase [one handle],vases,terre cuite [décors peints],"pottery forming techniques, pottery painting (image-making)",,,,Small italian vase ,,1700-1799,,"Sannio factories, kingdom of Naples ",Sannio factories,,,,,,,,Donation of Mr. the Duke of Luynes,Duke of Luynes Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",19400,19400,"19400 (11).JPG
19400 (2).JPG",faïence [glaçure] [engobe],faïence,engobée + galçurée,FALSE,coupelle ,small bowl,XX,TRUE,616,Pologne {Europe},Poland {Europe},FALSE,16,16,1 entre 12 et 14 cm ; 2 entre 8 et 10 cm ; 2 entre 6 et 8 cm ; 1 entre 4 et 6 cm ; 8 entre 2 et 4 cm ; 2 moins de 2 cm ,"diamètre 14 cm; hauteur 3,3 cm",,moins de 10%,<10,complete archeological profile,"cracked / split, lack of adhesion of the glaze",poor,explosive bomb,2 lacunes vers le centre + des éclats. Glaçure qui semble fragile (pourrait valoir la peine de faire une consolidation),"not potter's wheel-made (modelling or colombin), stamped on back but illegible.",,,,,,19400,,,,"pas de num(terres cuites ""romaines"" )",,Polish folk pottery. Glazed earthenware saucer: stylised black flowers on a green background. Pomerania.,,,small bowl,bowls (vessels),faïence [glaçure] [engobe],"pottery forming techniques, slip trailing, pottery glazing (process or technique)",,black flowers,,rustic pomeranian pottery,,1900-1999,,,,,,,,,,,Donation from the Society for the Expansion of Polish Art Abroad,Society for the Expansion of Polish Art Abroad Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",5072,5072,"5072 (11).JPG
5072 (4).JPG",terre cuite [vernissée] ,terre cuite,vernissée,FALSE,pot [couvercle] [hanse bouton] ,pot [with lid] [button handle],XIX,TRUE,392,Japon {Asie},Japan {Asia},FALSE,12,12,pour couvercle cf colonne d'ap ; partie de la base environ 8 cm ; 4 entre 6 et 8 cm ; 2 entre 4 et 6 cm ; 4 entre 4 et 2 cm ; 1 de 2 cm ,"pot : hauteur avec couvercle 11,7 cm ; 11,5 cm de long ; 10,5 cm de large. Couvercle : 6,9 cm de diamètre ; 3 cm de hauteur",,"0,4",40,incomplete,"broken / stuck, cracked / split, lack of stability",bad,explosive bomb,"très lacunaire (problème de stabilité des fragments au remontage), et bcp d'éclats nottamment sous le couvercle. ","seal at the base in a cartouche (two ideograms), old museum label under the foot, incised and gilded flower decoration on the body in some places (discreet).",,,,,,5072,,,,"pas de num(terres cuites ""romaines"" )",,"A quadrangular teapot, fine-paste, soft, grayish pottery; chocolate-brown encaustic coating decorated with point-engraved tea flowers enhanced with gold.",,,pot [with lid] [button handle],"pots (containers), lids (covers)",terre cuite [vernissée] ,"pottery forming techniques, pottery decorating techniques",,tea flowers,,Japanese teapot stove,,1800-1899,,Japanese manufacture,Japanese manufacture,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",4932_3,4932_3,"4932_3 (1).JPG
4932_3 (16).JPG",terre cuite [vernissée],terre cuite,vernissée,FALSE,vase à fumer,smoking vase,XVII - XIX,TRUE,356,"Inde {Asie, Sud}",India {South Asia},FALSE,13,13,1 gros volume : moitièe de la panse ronde environ 17 cm de long ; puis partie du bec verseur entre 14 et 16 cm ; 1 entre 10 et 12 cm ; 2 entre 8 et 10 cm ; 5 entre 4 et 6 cm ; 2 entre 4 et 2 cm ; 1 moins de 2 cm (forme pointue triangulaires en écrassante majorité). ,18 cm de long ; 17 cm de large ; hauteur max 13 cm (mais manque des parties),,10-15 % ,10-15,incomplete,"aging of old restauration products, cracked / split, poor adhesion of the gilding",poor,explosive bomb,"lacunaire : manque le pied et le col/haut ?; morceaux cassés/collés d'un précédente restau avec traces de colles et ressauts ; grosse fissure nécéssiterait une consolidation ; décors un peu comme l'objet précédent vernissage, polissage et éléments de dorures. Fragiles à manipuler avec précaution (surtout avec les scotchs attentionoù on les positionne pour ne pas enlever la dorure)"," old pre-war label before inventory number, does not correspond to the number on the packaging bag (this one, according to the database, is an Austrian porcelain vase, therefore erroneous).",,,,,,4932_3,,,,"pas de num(terres cuites ""romaines"" )",,"Fine black paste pottery, lustrous Manufactured in Ahmedabad, Gujarate province (Indostan). Smoking vase (Gourgouli) in the shape of a spheroidal bottle: gray and gold decoration, with segments of squared circles.",,,smoking vase,vases,terre cuite [vernissée],"pottery forming techniques, pottery decorating techniques",,,,Smoking vase,,1600 - 1899,,Amhedabad pottery factory ,Amhedabad pottery factory ,,,,,,,,"Donation From Mr. Royle, commissioner of the British India Company at the 1855 World's Fair.",Mr. Royle commissioner of the British India Company Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",3075,3075,"3075 (1).JPG
3075 (17).JPG",terre cuite ,terre cuite,,FALSE,porte huilier,oil jar,XVIII,FALSE,250,France {Europe},France {Europe},FALSE,12,12,"le pied et le bec verseur  et l'autre partie de la panse : entre 6 et 8 cm ; la partie avc la hanse : entre 8 et 10 cm ; 8 2 cm ou moins ; forme un peu variées qqls sharp pointus, mais d'autre plus polygonales. ","11 cm de long ; 8 cm de large ; 12,5 cm de haut ",,"0,3",30,restored,"aging of old restauration products, lack of adhesion of the glaze, cracked / split",bad,explosive bomb,fragmentaire et lacunaire ; traces d'anciennes restau : hanse complétement restituée plâtre et goujon avc file d'étain ; trace de consolidation de la glaçure avec papier kraft encore collé sur l'objet par endroit : entièrement consolidé surement car très fin et fragile mais du coup effet papier mâché cassant +++; éclats sous le pied ; corrosion du goujon métallique qui dégrade la cérame ; trace de colle à l'intérieur," old label with inventory number on the neck, brown glaze/ warm flamed tones (which technique? Which origin?). Very fine eggshell like the Bengal vase. Entered the collections in January 1843.",,,,,,3075,,,,"pas de num(terres cuites ""romaines"" )",,glazed pottery. spheroidal-bodied oil-bottle; chipped varnish.,,,oil cruet,cruets (condiment vessels),terre cuite ,pottery forming techniques,,,,Old oil vase,,1720,,"Attributed to the factories of Clermonc in Auvergne, circa 1720",factories of Clermonc in Auvergne,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",5207,5207,"5207 (11).JPG
5207 (15).JPG
5207 (2).JPG",terre cuite ,terre cuite,engobée,FALSE,cruche ,jug,XIX - XVIII ,TRUE,620,Portugal {Europe},Portugal {Europe},FALSE,8,8,le vase presque entier : 28 cm de haut par 17 cm de large/diamètre; puis fragments du col : 3 entre 4 et 6 cm ; 1 entre 2 et 4 cm ; 2 mois de 2 cm ; l'hanse entre 14 et 16 cm ,,,"0,1",10,incomplete,"dust / dirtying, cracked / split",poor,explosive bomb,"empoussièrement, éclats un peu partout ; pas de profil archéo complet car morceau du col non jointif/pas de connexion","probably not potter's wheel-turned, but pellet-turned (irregularities in places); engraved decorations made by line during design; exogenous elements hung with slip on the body as decoration; old label on a piece of neck.",,,,,,5207,,,,"pas de num(terres cuites ""romaines"" )",,"Cooling pottery. An oréforme jug, with corded side handles, decorated all over with buttons containing white quartz seeds, reddish earth.",,,jug,jugs (vessels),terre cuite ,pottery forming techniques,,,,Jug with corded handles ,,XIX - XVIII ,,Estremoz factory,Estremoz factory,,,,,,,,Donation from Mr. Achille Jubinal,Mr. Achille Jubinal Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
MNC,"pas de num(terres cuites ""romaines"" )",10169_141 ? ,10169_141,"10169 (1).JPG
10169 (14).JPG
",pâte blanche poreuse;  décor galçurée,faïence,galçurée + pâte blanche poreuse,FALSE,vase ajourée décoratif,decorative openwork vase,XX,TRUE,156 (?),Chine (?) {Asie} (ou imitation européenne),China {Asia},TRUE,16,16,la base entière et le pourtour du col entier : entre 6 et 8 cm ; 1 fragment de la panse entre 6 et 8 cm aussi ; 4 entre 4 et 6 cm ; 5 entre 4 et 2 cm ; 4  de 2 cm ou moins ,"14,4 cm de hauteur ; 8 cm de diamètre ; base quadrangulaire de 6,5x6,5 cm",,"0,15",15,complete archeological profile,"broken / stuck, cracked / split",fair,explosive bomb,fragmentaire et lacunaire ; nombreux éclats un peu partout laissant voir la pâte blanche poreuse ; rayures au niveau de la base (ressort plus car couleur plus foncé que le reste du vase) ; ,"inventory number difficult to decipher, does not correspond to the one on the bag (the one on the bag corresponds to another object according to the museum database but is not there ...); the bag also contains fragments of what seems to be the handle of another object (perhaps confusion due to the color of the glaze quite similar). description in the inventory that does not match",,,,,,10169_141,,,,"pas de num(terres cuites ""romaines"" )",,decorative openwork vase with Chinese designs,,,decorative openwork vase,vases,pâte blanche poreuse;  décor galçurée,"pottery forming techniques, pottery decorating techniques, pottery glazing (process or technique)",,Chinese designs,,small openwork vase,,1900-1999,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_terre cuite.csv,,,,,,,,,,,,,,,
